,time,is_weekend,origin,destination,online,prediction,gx,lsl,zyb
1436831975714,2019-03-15 19:31:39,0,北延新居D区南大门,升仙湖-地铁站,升仙湖-地铁站,北延新居C区, 北延新居C区,城置·豪庭汇商业销售中心,
1497298710293,2019-04-03 07:36:57,0,羊横六路/羊纵三路(路口)北侧,邛崃市政府羊安专职消防队(西南门),邛崃市政府羊安专职消防队(西南门),羊安综合市场,,邛崃市政府羊安专职消防队(西南门) ,邛崃市政府羊安专职消防队(西南门)
1525268155881,2019-04-11 14:14:11,0,金府人家超市(大丰店),成都国际商贸城,源上湾万融城2期,兴想花园, 兴想花园,兴想花园,
1538478773237,2019-03-25 05:18:52,0,潮漫酒店(武城大街店),成都双流国际机场T2航站楼,宽窄巷子景区,春熙路步行街,,崇州万达广场西北侧 ,春熙路步行街
1546829957825,2019-03-17 14:13:07,1,西贝佳儿(长庆店),顺丰超市,顺丰超市,顺丰超市, 顺丰超市,顺丰超市,
1551101198831,2019-04-02 14:34:23,0,果壳里的城-三号门,摩尔华盛购物中心,中国航天四川航天技术研究院-北门,大面派出所, 小雨点幼儿园-东南门,,小雨点幼儿园-东南门
1572640196261,2019-04-16 16:55:01,0,成都市中和职业中学,汇城港湾,汇城港湾,呵呵网吧,,汇城港湾 ,汇城港湾-东南门
1641885013195,2019-04-12 17:02:21,0,成都银行(银都支行),瑞南街,瑞南街,观南上域, 尚轩茶府,,水岸格林-东南门
1646043407431,2019-04-11 16:48:07,0,水映兰庭西北侧,成都双流国际机场T2航站楼,成都双流国际机场T2航站楼,华润·二十四城,,宽窄巷子景区 ,宽窄巷子景区
1656016802007,2019-04-04 15:49:06,0,天府西苑-上车点,彭州市西郊小学,彭州市西郊小学,联邦制药(成都)有限公司, 彭州客运中心,彭州市市城市管理执法局,
1673181338537,2019-04-16 12:38:54,0,万卷山-北门,朋城·鼎峰动力港-东北门,朋城·鼎峰动力港-东北门,朋城·鼎峰动力港-东北门, 朋城·鼎峰动力港-东北门,,朋城·鼎峰动力港-东北门
1729830136582,2019-04-02 01:14:25,0,启元幼儿园,西林豫府(A区),西林豫府(A区),简阳南站, 简阳南站,简阳南站,
1749120061914,2019-04-01 21:22:03,0,宜家家居成都商场店-东2门,中发商务楼,银泰城购物中心,银泰城购物中心, 世纪城(地铁站),天香-西北门,
1797108343623,2019-04-12 12:21:05,0,晋王佳苑-东南门,大邑县人民医院(滨河路中段),大邑县人民医院(滨河路中段),滨江小区, 大邑站,,滨江小区-南门
1929818216844,2019-04-12 20:58:58,0,蒲江县.朝阳大道泉源堂智慧药房(龙韵华庭店)南侧,蒲江县职业中学西南实训基地,蒲江县体育中心,蒲江县职业中学西南实训基地, ,,蒲江县职业中学西南实训基地
1973789463185,2019-04-04 20:15:57,0,交通银行(成都东大街支行)对面,浣花北路1号院,浣花北路1号院,川鱼郎冷锅鱼(人民中路店),,欧蓝酒店(浣花北路店) ,欧蓝酒店(浣花北路店)
2000069926767,2019-04-15 23:20:16,0,中国小镇A区-二号门,保利·梧桐语,保利·梧桐语,保利·梧桐语,,保利·梧桐语 ,保利·梧桐语
2006601768895,2019-04-13 19:19:08,1,中德·英伦联邦A区(5号门),二龙转老火锅(天府三街店),创新·时代广场3号楼,中德·英伦联邦B区,,宏达丽景工程部东南侧 ,宏达丽景工程部东南侧
2014520280805,2019-04-14 13:35:24,1,怡口净水(伊藤锦华店),金都苑(赛云台西一路),龙湖·北城天街,莲花新区北三巷,,链家(锦西店) ,莲花新区北三巷
2058811607794,2019-04-16 20:31:06,0,圣母妇产医院,柳岸锦城,柳岸锦城,柳岸锦城, 柳岸锦城,柳岸锦城-南门,
2075721405584,2019-04-04 14:53:43,0,邛崃山路988号,林湾家园,犀浦-地铁站,林湾家园,,犀浦-地铁站 ,林湾家园
